signal_event_time,timestamp,open,high,low,close,volume,close_time,quote_av,trades,taker_base_vol,taker_quote_vol,ignore
20230505_160000,2023-05-05 9:18,29037.9,29057.4,29037.8,29054.5,337.703,1.68E+12,9809902.865,4040,231.324,6719633.446,0
20230505_160000,2023-05-05 9:19,29054.5,29058.7,29051.9,29053.7,124.005,1.68E+12,3602835.692,1963,73.511,2135802.643,0
20230505_160000,2023-05-05 9:20,29053.7,29065,29052.6,29064.2,134.48,1.68E+12,3907808.856,2187,97.012,2819085.447,0
20230505_160000,2023-05-05 9:21,29064.2,29071.6,29064.1,29070.1,215.175,1.68E+12,6255102.392,2063,118.073,3432278.385,0
20230505_160000,2023-05-05 9:22,29070.1,29084.5,29068.5,29081.3,295.825,1.68E+12,8601293.621,3048,235.553,6848794.257,0
20230505_160000,2023-05-05 9:23,29081.3,29106.6,29081.2,29082,462.473,1.68E+12,13455216.6,4506,333.809,9711838.13,0
20230505_160000,2023-05-05 9:24,29081.9,29100,29081.9,29099.9,180.881,1.68E+12,5262377.959,1931,145.564,4234865.308,0
20230505_160000,2023-05-05 9:25,29100,29105,29077.3,29081.6,243.828,1.68E+12,7093098.729,3287,93.707,2726148.817,0
20230505_160000,2023-05-05 9:26,29081.5,29081.6,29072,29073.3,122.503,1.68E+12,3561837.667,1877,56.447,1641176.213,0
20230505_160000,2023-05-05 9:27,29073.3,29073.3,29068.6,29073.2,92.648,1.68E+12,2693380.048,1332,33.98,987814.1166,0
20230505_160000,2023-05-05 9:28,29073.3,29076.5,29064,29064.1,117.408,1.68E+12,3413152.987,1614,56.198,1633778.582,0
20230505_160000,2023-05-05 9:29,29064.1,29071.5,29064,29070.1,100.505,1.68E+12,2921482.551,999,69.646,2024444.597,0
20230505_160000,2023-05-05 9:30,29070.1,29070.1,29064.2,29064.3,71.002,1.68E+12,2063662.848,930,42.195,1226390.837,0
20230505_160000,2023-05-05 9:31,29064.3,29077.9,29058,29077.9,164.807,1.68E+12,4790853.752,2603,107.766,3132829.709,0
20230505_160000,2023-05-05 9:32,29077.9,29116,29075.3,29110.3,474.583,1.68E+12,13808667.07,4859,369.948,10764197.54,0
20230505_160000,2023-05-05 9:33,29110.4,29125,29103.1,29124.9,465.853,1.68E+12,13562926.08,5319,314.353,9152322.02,0
20230505_160000,2023-05-05 9:34,29125,29130,29100,29101.8,405.948,1.68E+12,11819510.87,4594,206.533,6013545.114,0
20230505_160000,2023-05-05 9:35,29101.8,29106.7,29095.1,29096.1,251.902,1.68E+12,7330049.755,3498,89.885,2615518.23,0
20230505_160000,2023-05-05 9:36,29096.1,29099.1,29090.4,29099.1,113.283,1.68E+12,3295782.189,1561,55.459,1613527.107,0
