ret,side,reason,year
-0.010799999999999975,-1,sl,2025
-0.010799999999999971,-1,sl,2025
-0.00146695981906768,-1,flip,2025
-0.010800000000000039,1,sl,2025
-0.010799999999999962,1,sl,2025
0.01001412788979156,1,sl,2025
-0.010799999999999999,1,sl,2025
-0.010800000000000032,-1,sl,2025
-0.01079999999999997,-1,sl,2025
-0.010800000000000004,-1,sl,2025
-0.010800000000000058,-1,sl,2025
-0.01079999999999994,-1,sl,2025
-0.010800000000000032,-1,sl,2025
-0.006544138746373813,-1,sl,2025
-0.010800000000000006,-1,sl,2025
-0.010800000000000079,-1,sl,2025
-0.010799999999999971,-1,sl,2025
-0.010800000000000006,-1,sl,2025
-0.010800000000000087,-1,sl,2025
-0.010800000000000044,-1,sl,2025
0.010479728219637382,-1,sl,2025
-0.010799999999999985,-1,sl,2025
-0.010799999999999933,1,sl,2025
-0.0108,1,sl,2025
-0.010800000000000002,1,sl,2025
-0.010800000000000061,1,sl,2025
0.01478087077984895,1,sl,2025
-0.01079999999999995,1,sl,2025
-0.010799999999999994,-1,sl,2025
-0.010799999999999995,-1,sl,2025
0.00396609085734169,-1,sl,2025
-0.01080000000000003,-1,sl,2025
0.0006737815808248903,-1,flip,2025
0.005680608098309449,1,sl,2025
-0.010799999999999933,1,sl,2025
0.017985063977639895,1,sl,2025
0.0035445361941665297,1,sl,2025
0.019573930915066137,1,sl,2025
-0.010800000000000061,1,sl,2025
0.05395310878169075,1,sl,2025
-0.010799999999999955,1,sl,2025
-0.010799999999999957,1,sl,2025
-0.01080000000000001,1,sl,2025
-0.010800000000000021,1,sl,2025
0.009516586487887424,1,sl,2025
-0.0009459993524918086,1,flip,2025
-0.010799999999999971,-1,sl,2025
-0.010800000000000035,-1,sl,2025
0.008570324884862257,1,sl,2025
-0.010799999999999949,1,sl,2025
0.004096882267668719,1,flip,2025
-0.010800000000000039,-1,sl,2025
-0.0007404372870706106,-1,sl,2025
-0.010799999999999978,1,sl,2025
0.0011664914910453936,1,sl,2025
-0.010800000000000008,1,sl,2025
0.07925382805132115,1,sl,2025
-0.010799999999999987,1,sl,2025
-0.01080000000000007,1,sl,2025
-0.01080000000000006,1,sl,2025
-0.010800000000000044,1,sl,2025
0.005498579135417478,1,sl,2025
0.020589681044056302,1,sl,2025
-0.010800000000000011,1,sl,2025
-0.010800000000000046,1,sl,2025
0.0009982865489885414,-1,sl,2025
-0.010799999999999971,-1,sl,2025
-0.002642730405617,-1,sl,2025
-0.010800000000000002,-1,sl,2025
-0.010800000000000006,1,sl,2025
-0.0005179236917584725,1,flip,2025
-0.010800000000000046,-1,sl,2025
0.03510493443754318,-1,sl,2025
0.020680657881424955,-1,sl,2025
-0.01079999999999998,-1,sl,2025
-0.010800000000000054,-1,sl,2025
-0.01079999999999999,-1,sl,2025
-0.0026986073092784093,-1,sl,2025
-0.010800000000000063,-1,sl,2025
-0.01079999999999997,-1,sl,2025
0.0001223653225958678,-1,flip,2025
0.0017220339846256948,1,sl,2025
-0.003916652771298729,-1,sl,2025
-0.010800000000000016,-1,sl,2025
-0.010800000000000006,1,sl,2025
-0.01080000000000003,1,sl,2025
0.035569550227033266,-1,sl,2025
-0.010799999999999968,-1,sl,2025
-0.01080000000000004,-1,sl,2025
-0.010800000000000032,-1,sl,2025
-0.010799999999999994,1,sl,2025
-0.010800000000000004,1,sl,2025
0.0014999678588303571,1,flip,2025
0.062263024080086805,-1,sl,2025
0.0016352424778713734,-1,sl,2025
-0.010799999999999933,-1,sl,2025
-0.010800000000000011,-1,sl,2025
-0.010800000000000034,-1,sl,2025
-0.010800000000000008,-1,sl,2025
-0.0061130427679527005,-1,sl,2025
-0.010800000000000068,-1,sl,2025
0.02983531417779909,-1,sl,2025
0.006072710298387427,-1,flip,2025
0.006046622335158003,1,sl,2025
-0.0018885496504557567,1,flip,2025
-0.010800000000000008,-1,sl,2025
-0.010800000000000013,-1,sl,2025
0.0014295762924004074,-1,sl,2025
-0.0073880969947256216,-1,sl,2025
-0.01079999999999997,-1,sl,2025
-0.010800000000000058,-1,sl,2025
-0.0007054003396138673,-1,flip,2026
-0.010800000000000056,1,sl,2026
-0.010800000000000013,1,sl,2026
-0.010799999999999955,1,sl,2026
0.045629833805532864,1,sl,2026
-0.01079999999999999,1,sl,2026
-0.01079999999999994,1,sl,2026
0.022652585014293992,-1,sl,2026
-0.010800000000000073,-1,sl,2026
0.11639037984619234,-1,sl,2026
-0.010799999999999978,-1,sl,2026
0.022613251319694605,-1,sl,2026
-0.010799999999999957,-1,sl,2026
-0.010800000000000087,-1,sl,2026
-0.006487354618075728,-1,sl,2026
0.01618983062051645,-1,sl,2026
-0.010800000000000028,-1,sl,2026
-0.010799999999999992,1,sl,2026
-0.0108,1,sl,2026
0.050075296136789044,1,sl,2026
0.00858026902759098,1,sl,2026
-0.01080000000000004,1,sl,2026
0.00016990483969697582,1,flip,2026
-0.01080000000000001,-1,sl,2026
0.05047172512339886,-1,sl,2026
-0.01080000000000002,-1,sl,2026
-0.010800000000000004,-1,sl,2026
0.019942793434464,-1,sl,2026
0.0019107841174241494,-1,flip,2026
-0.010800000000000002,1,sl,2026
0.05397091334559623,1,sl,2026
-0.010800000000000006,1,sl,2026
0.028349788183756535,1,sl,2026
-0.010800000000000066,1,sl,2026
-0.010800000000000028,1,sl,2026
0.011611483830691884,1,end,2026
