et,xt,side,entry,exit,R,reason,year,atr_pct,oi_z
2024-06-21 16:00:00,2024-06-23 16:00:00,1,64032.68948,63392.3625852,-0.011211290000000018,fibstop,2024,0.016949942439472135,1.211433611142826
2024-06-25 00:00:00,2024-06-27 16:00:00,1,60418.2794,61570.6,0.017535373580655288,fibstop,2024,0.01980153838924649,-2.08965257640446
2024-07-01 08:00:00,2024-07-02 08:00:00,-1,63230.502799999995,62617.9,0.009188406273435347,fibstop,2024,0.01525388368623285,-0.5502908435261419
2024-07-05 08:00:00,2024-07-07 16:00:00,1,56328.2267,55764.944433,-0.01126417,fibstop,2024,0.03177574368198454,-1.8231415208723876
2024-07-08 08:00:00,2024-07-11 16:00:00,1,55612.47034,57382.8,0.03027761172041053,fibstop,2024,0.03127817669404662,-1.8854406508501649
2024-07-12 08:00:00,2024-07-12 16:00:00,1,58092.47094,57511.5462306,-0.010840370000000047,fibstop,2024,0.02599136694074039,-0.2613349674893457
2024-07-16 08:00:00,2024-07-17 00:00:00,-1,65083.46778,65734.3024578,-0.010807020000000073,fibstop,2024,0.0256569708390989,-0.8427751403876099
2024-07-17 08:00:00,2024-07-19 08:00:00,-1,64978.03706,65627.8174306,-0.010618359999999953,fibstop,2024,0.023629073914356175,1.5448137436157514
2024-07-20 00:00:00,2024-07-20 16:00:00,-1,66648.49816,67314.98314160001,-0.010795110000000082,fibstop,2024,0.02147276448418971,1.6617539967651414
2024-07-21 00:00:00,2024-07-21 08:00:00,-1,66800.60362000001,67468.60965620002,-0.010778060000000115,fibstop,2024,0.018930862515650466,0.473134050067755
2024-07-22 08:00:00,2024-07-22 16:00:00,-1,67123.96518000001,67795.20483180002,-0.010772310000000037,fibstop,2024,0.02040537313732669,-0.457770534863159
2024-07-24 00:00:00,2024-07-24 16:00:00,1,65959.52992,65299.9346208,-0.01100000000000001,fibstop,2024,0.019919730982993655,0.6679865305389768
2024-07-25 16:00:00,2024-07-28 08:00:00,1,65625.9118,67517.6,0.027381574450577886,fibstop,2024,0.02179095085024589,2.0871872291517133
2024-07-29 16:00:00,2024-08-08 00:00:00,-1,66851.6211,55102.9,0.17661880910424643,fibstop,2024,0.022330044144768666,0.3250891214499348
2024-08-09 00:00:00,2024-08-11 08:00:00,-1,61251.16647999999,61863.6781448,-0.01078030000000011,fibstop,2024,0.04054689420406717,-0.3547681578430857
2024-08-11 16:00:00,2024-08-12 08:00:00,-1,59078.592800000006,59669.378728,-0.01068918999999994,fibstop,2024,0.031131203718677766,2.35031555107112
2024-08-14 00:00:00,2024-08-14 08:00:00,-1,61002.74199999999,61612.76941999999,-0.010813299999999972,fibstop,2024,0.028334545331390466,1.9463266823103775
2024-08-14 16:00:00,2024-08-15 08:00:00,-1,58772.30617999999,59360.029241799995,-0.010821490000000067,fibstop,2024,0.03035557868176742,2.891936697691532
2024-08-18 16:00:00,2024-08-19 16:00:00,-1,58515.861399999994,59101.020013999994,-0.010903660000000006,fibstop,2024,0.024345034098359166,2.740423358769281
2024-08-20 08:00:00,2024-08-20 16:00:00,-1,58890.598399999995,59479.50438399999,-0.010799999999999955,fibstop,2024,0.02516364453746489,1.63086912098993
2024-08-22 00:00:00,2024-08-23 08:00:00,-1,61064.890660000005,61675.539566600004,-0.010868609999999987,fibstop,2024,0.02474365447229678,2.4156826937647056
2024-08-24 00:00:00,2024-08-25 16:00:00,-1,64482.450000000004,65127.27450000001,-0.010775570000000017,fibstop,2024,0.023846277251617767,0.4439317941977913
2024-08-26 00:00:00,2024-08-30 00:00:00,-1,63821.50676,59323.3,0.0698328892318122,fibstop,2024,0.019095124586047944,-0.8726270057694174
2024-08-31 00:00:00,2024-09-01 00:00:00,1,58954.37494,58364.8311906,-0.01091491000000002,fibstop,2024,0.024865103454769513,-2.0878563367693084
2024-09-02 08:00:00,2024-09-03 08:00:00,1,58388.87414,57804.9853986,-0.010861299999999957,fibstop,2024,0.021771622648367645,-0.5014817247104919
2024-09-04 08:00:00,2024-09-05 00:00:00,1,57971.69099999999,57391.97408999999,-0.01087546000000005,fibstop,2024,0.024528119173160338,-1.4989939845975129
2024-09-07 00:00:00,2024-09-09 08:00:00,1,54044.091519999994,54939.0,0.01612947879160036,fibstop,2024,0.02812013491837777,0.4917961098984054
2024-09-10 00:00:00,2024-09-10 16:00:00,-1,57317.16698,57890.3386498,-0.010840560000000055,fibstop,2024,0.02384905166304447,0.5567922918884314
2024-09-11 16:00:00,2024-09-17 08:00:00,1,57306.0,58668.1,0.022881509819565146,fibstop,2024,0.024317180899364105,-1.307492521092585
2024-09-17 16:00:00,2024-09-18 16:00:00,-1,60395.621779999994,60999.57799779999,-0.010769779999999968,fibstop,2024,0.021914418711975758,3.6198147369606897
2024-09-20 08:00:00,2024-09-22 16:00:00,-1,63316.60376,63949.7697976,-0.010310120000000002,fibstop,2024,0.021623255353207402,1.1885213168934448
2024-09-23 00:00:00,2024-09-24 00:00:00,1,63467.34162,62832.6682038,-0.010889920000000011,fibstop,2024,0.018562083246016537,-0.6939756408609168
2024-09-25 08:00:00,2024-09-26 08:00:00,-1,63542.4534,64177.877934,-0.010696269999999999,fibstop,2024,0.01737956683706004,0.781020811819192
2024-09-27 00:00:00,2024-09-27 08:00:00,-1,65531.96864,66187.2883264,-0.010732779999999968,fibstop,2024,0.017277565533741903,-0.1515591920000624
2024-09-27 16:00:00,2024-09-30 08:00:00,-1,65861.77864,64539.0,0.01957768212429215,fibstop,2024,0.016814583744948205,0.8634275483065346
2024-10-01 00:00:00,2024-10-01 08:00:00,1,63921.91157999999,63282.692464199994,-0.01089999999999997,fibstop,2024,0.01499164196809434,-1.057871058853053
2024-10-02 00:00:00,2024-10-02 08:00:00,1,61528.12566,60912.8444034,-0.010884089999999999,fibstop,2024,0.020145435583360804,-2.1394373197637337
2024-10-03 00:00:00,2024-10-03 08:00:00,1,60718.54264,60111.3572136,-0.01083745999999998,fibstop,2024,0.021878645909610587,-1.8804832262292948
2024-10-03 16:00:00,2024-10-09 00:00:00,1,60543.61758,62131.8,0.02496037705826538,fibstop,2024,0.02155053935782844,1.5404874750183164
2024-10-10 00:00:00,2024-10-10 16:00:00,1,60747.62878,60140.152492199995,-0.010915320000000065,fibstop,2024,0.01779145085262215,0.1835115581423497
2024-10-11 00:00:00,2024-10-14 00:00:00,1,60643.30000000001,62839.7,0.03521157563752278,fibstop,2024,0.0187222315100864,-1.6804867567808148
2024-10-15 00:00:00,2024-10-15 08:00:00,-1,65771.08219999999,66428.79302199998,-0.010699999999999916,fibstop,2024,0.018069694116870465,-0.2968902421130573
2024-10-16 16:00:00,2024-10-18 08:00:00,-1,67779.572,68457.36772,-0.010399999999999965,fibstop,2024,0.018931342323593357,1.287199781413832
2024-10-19 00:00:00,2024-10-20 16:00:00,-1,68399.45999999999,69083.4546,-0.010300000000000135,fibstop,2024,0.015869006090472138,0.4312196876160167
2024-10-21 08:00:00,2024-10-24 16:00:00,-1,67441.5004,68115.915404,-0.009800000000000034,fibstop,2024,0.014759627981654163,1.3815826976833072
2024-10-25 00:00:00,2024-10-25 08:00:00,-1,67610.03388,68286.1342188,-0.010699999999999942,fibstop,2024,0.01663113706648996,0.8306030974563451
2024-10-26 00:00:00,2024-11-01 16:00:00,1,66885.41218,69381.1,0.03455624690101362,fibstop,2024,0.018314111611409355,-3.1101979713060777
2024-11-02 00:00:00,2024-11-03 00:00:00,1,69670.87750000002,68974.16872500001,-0.011100000000000058,fibstop,2024,0.019564772614666187,-1.4996629845366465
2024-11-03 16:00:00,2024-11-04 16:00:00,1,68579.82604,67894.0277796,-0.011099999999999952,fibstop,2024,0.01879828766964497,0.1121652668350248
2024-11-05 00:00:00,2024-11-15 08:00:00,1,68788.77666666667,87693.9,0.26929685212710097,fibstop,2024,0.019729950223379242,0.0538790264666534
2024-11-16 00:00:00,2024-11-18 00:00:00,-1,91326.4005,92239.66450500001,-0.010004270000000082,fibstop,2024,0.03157915409307935,-0.3375897764055396
2024-11-18 16:00:00,2024-11-19 00:00:00,-1,90623.93865999999,91530.17804659999,-0.010583940000000075,fibstop,2024,0.02796294990839559,0.1971384362750754
2024-11-20 00:00:00,2024-11-20 08:00:00,-1,93010.94412000001,93941.05356120001,-0.010599999999999965,fibstop,2024,0.02490355159347766,-0.0791072593808765
