month,pg,pm,pn
2023-08,2.0746975199526787,2.0746975199526787,-3.026596449126373
2023-08,13.911060820346393,13.911060820346393,8.47804995658953
2023-08,-3.0916572013229597,-3.0916572013229597,-7.82059751135057
2023-08,41.932021857277505,41.932021857277505,35.81234792855503
2023-08,-36.941654228454354,-36.941654228454354,-40.16642520264941
2023-08,41.6747073254719,41.6747073254719,35.32693232135716
2023-09,-8.805357565010127,-8.805357565010127,-12.942370792474321
2023-09,18.137766378615197,18.137766378615197,12.957745738862286
2023-09,12.329463406362265,12.329463406362265,7.730371756942986
2023-09,2.88355779345693,2.88355779345693,-1.9846376398727443
2023-09,14.307785332597632,14.307785332597632,9.003915556169886
2023-09,189.69550202665596,189.69550202665596,178.63601527716673
2023-09,-12.86584971820048,-12.86584971820048,-17.28151387075559
2023-09,34.30309902098452,34.30309902098452,28.661385105058798
2023-09,20.728227049999987,20.728227049999987,14.932405953792113
2023-09,175.36198069827878,175.36198069827878,164.5967647125035
2023-09,-30.40055352973286,-30.40055352973286,-34.277962113756075
2023-09,-5.690592239283433,-5.690592239283433,-10.452061498945113
2023-09,11.220127290251185,11.220127290251185,5.696455620554843
2023-09,-6.265619370618879,-6.265619370618879,-11.2420952564662
2023-09,15.61277316284395,15.61277316284395,10.645666706524935
2023-09,22.37786237115688,22.37786237115688,16.42976162535524
2023-09,-62.68300539005759,-62.68300539005759,-65.13803737091075
2023-09,-1.0545656308386242,-1.0545656308386242,-6.017354155084831
2023-10,-14.165944888316517,-14.165944888316517,-18.68044361855209
2023-10,54.571260345110204,54.571260345110204,46.905723251369636
2023-10,51.345871360612364,51.345871360612364,44.35139304084805
2023-10,-11.601072168812607,-11.601072168812607,-16.276443766511875
2023-10,9.833508651676311,9.833508651676311,4.110507058388976
2023-10,15.189075573882292,15.189075573882292,9.03443947758933
2023-10,-113.25057693229974,-113.25057693229974,-113.82171368077434
2023-10,20.61905832197226,20.61905832197226,14.979420567935449
2023-10,19.2651264673259,19.2651264673259,13.659845610529374
2023-10,-188.51974764803708,-188.51974764803708,-185.03585953408765
2023-10,24.942992988237165,24.942992988237165,19.047765283678018
2023-10,35.13921559252594,35.13921559252594,28.725848495891114
2023-10,1.9206161818110559,1.9206161818110559,-3.96625100899837
2023-10,-2.2894210385184124,-2.2894210385184124,-7.8679444585541205
2023-10,3.631030038195604,3.631030038195604,-2.2209982642343675
2023-10,-76.98697822207578,-76.98697822207578,-79.80637771958027
2023-11,-53.96184758142954,-53.96184758142954,-56.98963635647851
