et,xt,side,entry,exit,ret,reason,year,vr,mfe,giveback
2023-12-11 08:00:00+00:00,2023-12-11 18:00:00+00:00,1,42128.1,41285.538,-0.020799999999999954,trail/sl,2023,0.9430078723568581,0.008602334308929229,0.028602334308929184
2023-12-12 00:00:00+00:00,2023-12-12 14:45:00+00:00,1,41271.1,41493.125,0.004579672458451591,trail/sl,2023,1.133255857762867,0.02069002280045847,0.015310350342006878
2023-12-13 00:00:00+00:00,2023-12-13 07:08:00+00:00,-1,41514.9,41164.34,0.007644197143676245,trail/sl,2023,1.1377151378106236,0.023097731176035627,0.014653534032359382
2023-12-13 16:00:00+00:00,2023-12-13 19:01:00+00:00,-1,41960.0,42361.63399999999,-0.010371830314585103,trail/sl,2023,1.087683425705917,0.005347950428980015,0.014919780743565118
2023-12-14 00:00:00+00:00,2023-12-14 11:39:00+00:00,-1,42875.0,43310.557499999995,-0.010958775510203973,trail/sl,2023,1.0665568410116695,0.004769679300291545,0.014928454810495519
2023-12-15 08:00:00+00:00,2023-12-15 13:33:00+00:00,1,42724.8,42408.19,-0.008210450136688774,trail/sl,2023,1.0509352545026407,0.007705126764782915,0.01511557690147169
2023-12-16 00:00:00+00:00,2023-12-17 01:39:00+00:00,1,41968.0,42115.3495,0.0027109964735035413,trail/sl,2023,1.0434911478372784,0.01879288982081579,0.01528189334731225
2023-12-18 00:00:00+00:00,2023-12-18 02:36:00+00:00,1,41396.6,40865.1875,-0.013637104979635974,trail/sl,2023,1.0697052639425506,0.0021958325079837826,0.015032937487619757
2023-12-18 08:00:00+00:00,2023-12-18 10:26:00+00:00,1,41160.0,40666.0205,-0.012801445578231324,trail/sl,2023,1.0890118236701003,0.0030442176870749005,0.015045663265306224
2023-12-19 08:00:00+00:00,2023-12-19 19:33:00+00:00,-1,43062.1,42462.931,0.013114068287426802,trail/sl,2023,1.03259481564783,0.028486766785642065,0.014572698498215263
2023-12-20 00:00:00+00:00,2023-12-21 00:01:00+00:00,1,42298.2,43669.3,0.031615090949496806,trail/sl,2023,1.0065981057844748,0.04932597604626205,0.016910885096765242
2023-12-21 08:00:00+00:00,2023-12-21 13:55:00+00:00,-1,43794.9,44264.149999999994,-0.011514717923776346,trail/sl,2023,1.0036974633279343,0.004221952784456671,0.014936670708233016
2023-12-22 16:00:00+00:00,2023-12-24 22:14:00+00:00,1,43699.9,42825.902,-0.02079999999999999,trail/sl,2023,0.8586681173062312,0.008835260492586906,0.028835260492586896
2023-12-25 00:00:00+00:00,2023-12-26 09:45:00+00:00,1,43008.4,42534.5,-0.011818777727141709,trail/sl,2023,0.9405312857357075,0.01956827038438999,0.0305870481115317
2023-12-26 16:00:00+00:00,2023-12-28 14:57:00+00:00,1,42423.1,42534.5,0.0018259278553429963,trail/sl,2023,0.7210599011929633,0.033634977170456694,0.031009049315113696
2023-12-28 16:00:00+00:00,2023-12-29 16:22:00+00:00,1,42485.9,41876.743,-0.015137862679147652,trail/sl,2023,0.7278037008675018,0.016146533320466318,0.03048439599961397
2023-12-30 16:00:00+00:00,2024-01-01 18:15:00+00:00,-1,42410.4,43258.608,-0.020799999999999968,trail/sl,2023,0.7489066808433835,0.009653292588610375,0.029653292588610346
2024-01-02 00:00:00+00:00,2024-01-02 00:57:00+00:00,-1,44230.3,45114.906,-0.020799999999999992,trail/sl,2024,0.652439336864945,0.0006647027038026298,0.020664702703802624
2024-01-02 08:00:00+00:00,2024-01-03 01:41:00+00:00,-1,45495.6,45266.969999999994,0.004225321129955526,trail/sl,2024,1.115838590974563,0.01972938042360137,0.014704059293645844
2024-01-03 08:00:00+00:00,2024-01-03 11:11:00+00:00,1,45030.5,44898.565500000004,-0.0037298919621144722,trail/sl,2024,1.0812430319352822,0.01225391678973147,0.015183808751845941
2024-01-03 16:00:00+00:00,2024-01-03 18:56:00+00:00,1,43014.0,42288.023,-0.017677690984330658,trail/sl,2024,0.8913256560829976,0.013528153624401391,0.030405844608732052
2024-01-04 00:00:00+00:00,2024-01-04 20:51:00+00:00,1,42849.5,44168.188,0.029974874852682108,trail/sl,2024,1.0922491096563527,0.04647195416515952,0.015697079312477415
2024-01-05 00:00:00+00:00,2024-01-05 01:49:00+00:00,-1,44143.8,42934.49999999999,0.026594560504533144,trail/sl,2024,1.0997906966492257,0.04176803990594382,0.014373479401410677
2024-01-05 08:00:00+00:00,2024-01-05 12:26:00+00:00,-1,43769.6,44110.884999999995,-0.008597306806550579,trail/sl,2024,1.0602703652975696,0.007096249451674188,0.014893556258224767
2024-01-05 16:00:00+00:00,2024-01-05 20:56:00+00:00,1,43495.1,43832.5,0.0069571956381293855,trail/sl,2024,1.04885228038236,0.023103751916882624,0.015346556278753238
2024-01-06 00:00:00+00:00,2024-01-06 06:11:00+00:00,1,44145.3,43551.381,-0.014253731201283074,trail/sl,2024,1.0158052628857943,0.0015698160393064636,0.015023547240589538
2024-01-06 16:00:00+00:00,2024-01-07 13:19:00+00:00,-1,43863.6,44299.674999999996,-0.010741614459369435,trail/sl,2024,1.0245729258970988,0.004983631074512775,0.01492524553388221
2024-01-07 16:00:00+00:00,2024-01-08 06:21:00+00:00,-1,44034.9,43805.47149999999,0.0044101514934747,trail/sl,2024,1.0282437152341866,0.019911479303915822,0.014701327810441122
2024-01-08 16:00:00+00:00,2024-01-08 18:01:00+00:00,-1,44969.7,45869.094,-0.020800000000000006,trail/sl,2024,0.9713083097277719,0.004133894600141744,0.024133894600141752
2024-01-09 00:00:00+00:00,2024-01-09 12:50:00+00:00,-1,46972.6,46947.50549999999,-0.0002657630192919592,trail/sl,2024,1.0072124084808858,0.01530466697606693,0.014770429995358889
2024-01-09 16:00:00+00:00,2024-01-09 21:11:00+00:00,-1,46868.9,47197.49999999999,-0.007811045704080772,trail/sl,2024,1.1127549871608202,0.007870890931939973,0.014881936636020745
2024-01-10 00:00:00+00:00,2024-01-10 08:45:00+00:00,1,46113.9,45558.7125,-0.012839482672252834,trail/sl,2024,1.147857783271625,0.0030056013479666335,0.015045084020219467
2024-01-10 16:00:00+00:00,2024-01-10 18:09:00+00:00,1,45569.4,45978.420999999995,0.008175781994057269,trail/sl,2024,1.1708428101403903,0.024340895425438935,0.015365113431381666
2024-01-11 16:00:00+00:00,2024-01-11 16:38:00+00:00,-1,46813.4,46460.60999999999,0.006736090093862187,trail/sl,2024,1.036215659389765,0.022203044427450292,0.014666954333588104
2024-01-13 00:00:00+00:00,2024-01-13 11:04:00+00:00,1,42789.0,42616.1235,-0.0048402089322021665,trail/sl,2024,1.1225494991222038,0.011126691439388594,0.01516690037159076
2024-01-13 16:00:00+00:00,2024-01-14 20:01:00+00:00,1,43159.9,42545.991500000004,-0.015024048248489866,trail/sl,2024,1.228391249177442,0.0007877682756447535,0.015011816524134618
2024-01-15 08:00:00+00:00,2024-01-15 14:28:00+00:00,1,42713.1,42324.465,-0.009898730834334245,trail/sl,2024,1.1409755523753744,0.005991136208797804,0.01508986704313205
2024-01-16 16:00:00+00:00,2024-01-16 21:21:00+00:00,-1,43251.0,43467.88249999999,-0.005814508335067223,trail/sl,2024,1.1419199778340459,0.009837922822593697,0.014852431157660918
2024-01-18 08:00:00+00:00,2024-01-18 20:50:00+00:00,-1,42918.3,41283.704,0.03728622429126981,trail/sl,2024,1.1412227992607906,0.052301698809132796,0.014215474517862987
2024-01-19 00:00:00+00:00,2024-01-19 03:32:00+00:00,1,41323.2,40751.42,-0.014636779339450935,trail/sl,2024,1.004432203975385,0.001180934680760515,0.01501771402021145
2024-01-19 08:00:00+00:00,2024-01-19 16:07:00+00:00,1,41281.9,40895.624,-0.010157030563031208,trail/sl,2024,1.107470643701499,0.005728902981694157,0.015085933544725365
2024-01-20 16:00:00+00:00,2024-01-22 06:40:00+00:00,-1,41570.2,41275.99,0.006277425655878469,trail/sl,2024,1.088755521390949,0.021751158281653617,0.014673732625775147
2024-01-23 00:00:00+00:00,2024-01-23 08:14:00+00:00,1,39567.1,39570.1095,-0.0007239393334361094,trail/sl,2024,1.0710079757972881,0.015305645346765331,0.015229584680201441
2024-01-23 16:00:00+00:00,2024-01-23 19:06:00+00:00,1,39197.5,39059.386999999995,-0.0043235155303273124,trail/sl,2024,1.1360891580198933,0.011651253268703287,0.0151747687990306
2024-01-24 16:00:00+00:00,2024-01-26 10:40:00+00:00,-1,40046.7,40678.099,-0.016566567532406037,trail/sl,2024,0.9689191281678796,0.01381886647339217,0.02958543400579821
2024-01-26 16:00:00+00:00,2024-01-26 20:11:00+00:00,-1,41399.8,42227.796,-0.020799999999999978,trail/sl,2024,0.8588355147225423,0.000386475296982111,0.02038647529698209
2024-01-27 00:00:00+00:00,2024-01-27 20:25:00+00:00,-1,41806.4,41980.50149999999,-0.004964470033296093,trail/sl,2024,1.220030871479825,0.010675398981974121,0.014839869015270214
2024-01-29 00:00:00+00:00,2024-01-30 13:14:00+00:00,1,42021.2,43229.68,0.02795881697809685,trail/sl,2024,1.1167456174128376,0.04442519490162116,0.01566637792352431
