et,xt,side,entry,exit,R,reason,year,atr_pct,oi_z
2024-04-17 08:00:00,2024-04-17 22:00:00,-1,61350.291619999996,61963.794536199995,-0.01073465999999999,fibstop,2024,0.035716630819115615,-0.3486546658592289
2024-05-06 14:00:00,2024-05-07 04:00:00,-1,63547.59162,64183.0675362,-0.010661899999999955,fibstop,2024,0.022813904273250384,0.137401311959088
2024-05-20 00:00:00,2024-05-23 05:00:00,1,66316.22252,69589.3,0.04774253795871469,fibstop,2024,0.015192253656480012,-0.9597426458218384
2024-06-07 02:00:00,2024-06-07 16:00:00,1,71110.7585,70399.65091499999,-0.011001660000000066,fibstop,2024,0.013221805478862153,-1.577272015943738
2024-06-17 21:00:00,2024-06-20 05:00:00,-1,65540.40908,66195.8131708,-0.01030736000000005,fibstop,2024,0.0169446492136888,-2.461481779886623
2024-07-19 02:00:00,2024-07-22 07:00:00,1,63698.828160000005,67079.09,0.052100181228039874,fibstop,2024,0.02060287578272399,-0.3421875124988661
2024-08-29 19:00:00,2024-08-30 09:00:00,-1,59287.852060000005,59880.73058060001,-0.010754860000000022,fibstop,2024,0.023475140495554433,1.1284049098772968
2024-09-12 05:00:00,2024-09-13 02:00:00,-1,58118.43588,58106.0,-0.0006216752119366332,fibstop,2024,0.022004627103173018,2.4805872446918524
2024-10-17 19:00:00,2024-10-21 07:00:00,1,68027.18000000001,67346.9082,-0.011799999999999922,fibstop,2024,0.016788265560898047,-2.6668856686867946
2024-11-15 02:00:00,2024-11-18 07:00:00,1,88056.79625999999,90965.88,0.03123094765147421,fibstop,2024,0.032622442173370736,0.5736139088287159
2024-11-24 03:00:00,2024-11-24 10:00:00,1,97937.99690000001,96958.61693100001,-0.010961480000000006,fibstop,2024,0.016565038174365193,-2.213168319463974
2024-12-23 07:00:00,2024-12-23 14:00:00,1,94710.30682,93177.3,-0.017086272344292188,trend_flip,2024,0.02496082324930665,0.9821888971716112
2025-01-12 17:00:00,2025-01-13 00:00:00,-1,94552.31726,95497.8404326,-0.01074734000000005,fibstop,2025,0.017465700454734792,1.2046819570696528
2025-01-13 07:00:00,2025-01-13 14:00:00,-1,91156.93796000001,92068.50733960001,-0.010730109999999985,fibstop,2025,0.021396371576998342,-1.545177001155506
2025-01-20 07:00:00,2025-01-20 14:00:00,1,107690.7294,106613.82210599999,-0.010900000000000028,fibstop,2025,0.030943526237158174,-1.4956318380535305
2025-03-31 07:00:00,2025-04-03 12:00:00,1,82240.71800000001,83058.0,0.008829230748361056,fibstop,2025,0.01642177503643752,0.1859959409566127
2025-04-14 21:00:00,2025-04-15 11:00:00,-1,85433.14689999999,86287.47836899999,-0.010754669999999956,fibstop,2025,0.021368838749166872,-2.262969109224424
2025-04-24 12:00:00,2025-04-28 00:00:00,1,93230.11218,93697.0,0.004370147950368905,fibstop,2025,0.017410607797517512,-0.123251772536845
2025-08-08 02:00:00,2025-08-09 06:00:00,-1,116717.67636,117884.8531236,-0.010614630000000014,fibstop,2025,0.010991740168665524,-1.2217114612851676
2025-09-24 22:00:00,2025-09-29 07:00:00,-1,111771.34752,111580.0,0.001445835024660995,fibstop,2025,0.011816560407152512,1.6084378259223833
2025-10-28 11:00:00,2025-10-28 18:00:00,1,115159.72891999998,114008.13163079998,-0.010829919999999982,fibstop,2025,0.014459090853976207,-0.9900075294190718
2025-11-20 12:00:00,2025-11-20 19:00:00,-1,86580.51663999999,87446.32180639998,-0.010710009999999921,fibstop,2025,0.03271424862100401,0.3078744709816046
2025-11-27 12:00:00,2025-11-28 09:00:00,-1,91938.24170000001,92857.62411700001,-0.010675980000000005,fibstop,2025,0.022362073891945843,1.6141481005622331
2026-01-07 01:00:00,2026-01-07 08:00:00,1,92743.69178,91816.25486219999,-0.010800000000000056,fibstop,2026,0.014742208131341094,-1.4869431564584743
2026-01-16 02:00:00,2026-01-16 09:00:00,1,95544.44826000002,94589.00377740002,-0.010873369999999948,fibstop,2026,0.014808330040139078,0.6177074987912352
2026-01-23 23:00:00,2026-01-27 18:00:00,-1,89861.7913,87510.3,0.025957495852458143,fibstop,2026,0.014771732120582795,-2.0186228787363643
2026-02-02 21:00:00,2026-02-07 13:00:00,-1,78850.52639999999,68988.7,0.1238710066608961,fibstop,2026,0.02891285112099865,-0.4334070522706268
2026-03-22 03:00:00,2026-03-22 17:00:00,1,68695.17222000001,67830.6,-0.013273012906358572,trend_flip,2026,0.018985456621179474,-0.4417832946325015
2026-04-07 18:00:00,2026-04-08 08:00:00,1,71604.82789999999,70888.779621,-0.010875829999999932,fibstop,2026,0.020433519910209825,-1.4949812591909235
