et,xt,side,entry,exit,ret,realized,reason,exit_tag,year,mfe,mae,giveback,edge_ratio,mfe_capture,near_miss_sl,t_to_mfe_min,hold_min,vr,vol,loss_streak,prev_ret
2025-07-23 00:00:00+00:00,2025-07-26 10:42:00+00:00,-1,119993.7,118107.319,0.014920667001684205,0.015720667001684206,stop,trailing,2025,0.044388997089013796,0.0012734001868431669,0.02866833008732959,34.8586387434548,0.3541568413938112,0,3353,4962,0.8962769031766052,0.011385337354339978,2,-0.002179886135269932
2025-07-27 16:00:00+00:00,2025-08-04 14:03:00+00:00,-1,118580.9,115205.5,0.02766495514876337,0.02846495514876337,stop,trailing,2025,0.05676209237744016,0.010381941779831372,0.028297137228676793,5.467386889773342,0.5014782569938637,0,9157,11403,0.5772764334992654,0.010435473915726117,0,0.014920667001684205
2025-08-05 08:00:00+00:00,2025-08-11 19:52:00+00:00,1,113924.7,118776.5,0.041787779471879255,0.04258777947187926,stop,trailing,2025,0.07483276234214356,0.011782343951750611,0.032244982870264303,6.351262757952756,0.5691060725135774,0,8452,9352,0.7072593356740507,0.008484326938319157,0,0.02766495514876337
2025-08-12 00:00:00+00:00,2025-08-14 10:56:00+00:00,1,118641.8,120809.232,0.017468704621811208,0.018268704621811207,stop,trailing,2025,0.04976155115650641,0.004109007112164515,0.03149284653469521,12.11035897435898,0.3671249026051018,0,2912,3536,0.8728041901468361,0.00846672266163548,0,0.041787779471879255
2025-08-14 16:00:00+00:00,2025-08-18 02:16:00+00:00,1,118185.9,115822.18199999999,-0.02080000000000007,-0.02000000000000007,stop,initial_SL,2025,0.008445169855287355,0.020060768670374336,0.028445169855287424,0.42097937492091964,-2.368217613465579,1,885,4936,0.6724027206622577,0.010116953278215844,0,0.017468704621811208
2025-08-18 08:00:00+00:00,2025-08-19 16:39:00+00:00,1,115153.2,113430.53899999999,-0.015759731904975347,-0.014959731904975349,stop,trailing,2025,0.015505431025798676,0.015459405383436996,0.030465162930774024,1.0029771935737575,-0.9648059367124096,0,855,1959,0.6776362973399902,0.00958698511930537,1,-0.02080000000000007
2025-08-20 00:00:00+00:00,2025-08-24 19:34:00+00:00,1,112824.1,113875.47799999999,0.008518735979280866,0.009318735979280866,stop,trailing,2025,0.04053477936008342,0.010620071420911061,0.031216043380802555,3.8168085461525147,0.22989482430629637,0,3974,6934,0.7235611819362756,0.00996337079285848,2,-0.015759731904975347
2025-08-25 08:00:00+00:00,2025-08-25 20:34:00+00:00,1,111469.7,109510.769,-0.018373663515735637,-0.017573663515735638,stop,trailing,2025,0.012810656169344674,0.01927609027385915,0.030384319685080312,0.6645878903523069,-1.3718004201680651,1,502,754,0.788758695462486,0.010729979049305326,0,0.008518735979280866
2025-08-26 00:00:00+00:00,2025-08-29 07:37:00+00:00,1,110064.1,110026.12999999999,-0.0011449807884679538,-0.0003449807884679538,stop,trailing,2025,0.03057218475415684,0.013668398687673897,0.030917165542624792,2.2367056633873803,-0.01128413920176403,0,3683,4777,0.7810384352158628,0.010959366220804557,1,-0.018373663515735637
2025-08-29 08:00:00+00:00,2025-08-29 14:58:00+00:00,1,109969.0,108144.815,-0.017388174849275684,-0.016588174849275685,stop,trailing,2025,0.013826623866726078,0.017512207985886957,0.030414798716001765,0.7895420085159403,-1.1997270634659636,0,271,418,0.6494260455307929,0.010899362408727723,2,-0.0011449807884679538
2025-08-30 00:00:00+00:00,2025-09-06 16:21:00+00:00,1,108332.4,109943.971,0.014076168163910436,0.014876168163910436,stop,trailing,2025,0.04626409089062929,0.010346858372933622,0.03138792272671886,4.471317691141078,0.32154891358566773,0,9415,11061,0.832497075198841,0.010281327380375013,3,-0.017388174849275684
2025-09-07 00:00:00+00:00,2025-09-22 00:50:00+00:00,1,110135.2,114338.94399999999,0.037368941446512934,0.038168941446512936,stop,trailing,2025,0.07027725922320929,0.00013347231402854935,0.03210831777669636,526.5306122450022,0.5431193798449602,0,16936,21650,0.8456268018376661,0.009777326482710558,0,0.014076168163910436
2025-09-22 08:00:00+00:00,2025-09-25 17:11:00+00:00,1,112454.5,110478.926,-0.01836776296190898,-0.01756776296190898,stop,trailing,2025,0.01281673921452679,0.017913911848792177,0.03038450217643577,0.7154628940183683,-1.3706889613543256,0,3462,4871,0.5534015673908854,0.0070682417529697944,0,0.037368941446512934
2025-09-26 00:00:00+00:00,2025-10-07 15:05:00+00:00,1,108934.6,122422.245,0.12301415087584651,0.1238141508758465,stop,trailing,2025,0.1585712895627284,0.003383681585097901,0.03475713868688189,46.86353771025426,0.7808106449614733,0,15538,16745,0.7876766601958024,0.007047576998762283,1,-0.01836776296190898
2025-10-07 16:00:00+00:00,2025-10-09 16:53:00+00:00,1,121788.2,120445.482,-0.01182502541297099,-0.01102502541297099,stop,trailing,2025,0.019561829471163944,0.01247083050738908,0.030586854884134936,1.5686067948380327,-0.563598891873736,0,1556,2933,1.0371820194952275,0.009843490642483025,0,0.12301415087584651
2025-10-10 16:00:00+00:00,2025-10-10 19:15:00+00:00,1,118965.2,116585.896,-0.02080000000000003,-0.02000000000000003,stop,initial_SL,2025,0.0036834301123353477,0.020003328704528697,0.02368343011233538,0.18414085809135505,-5.429721588315882,1,33,195,1.0960586845566984,0.010173119722924463,1,-0.01182502541297099
2025-10-11 00:00:00+00:00,2025-10-11 07:42:00+00:00,1,112715.0,110460.7,-0.020800000000000023,-0.020000000000000025,stop,initial_SL,2025,0.0051909683715566325,0.02009492968992592,0.025190968371556658,0.25832229580574206,-3.852845667407247,1,181,462,0.8639932242107032,0.012465093350595785,2,-0.02080000000000003
2025-10-11 08:00:00+00:00,2025-10-14 05:35:00+00:00,1,110338.7,112434.64,0.018195511094475487,0.018995511094475486,stop,trailing,2025,0.05051083617987164,0.007592077847572947,0.03151532508539616,6.653097767697293,0.3760680386844421,0,2521,4175,1.0795251998995652,0.012880271860049879,3,-0.020800000000000023
2025-10-14 16:00:00+00:00,2025-10-15 15:16:00+00:00,1,112822.9,110566.442,-0.02079999999999999,-0.01999999999999999,stop,initial_SL,2025,0.00667594965206542,0.020588905266572605,0.02667594965206541,0.32424986008868806,-2.9958284652150344,1,630,1396,1.3222738822556626,0.013910628821489824,0,0.018195511094475487
2025-10-15 16:00:00+00:00,2025-10-16 15:46:00+00:00,1,110757.4,108601.2,-0.020267773710831032,-0.019467773710831034,stop,trailing,2025,0.010857965246565971,0.01965918304329999,0.030325738957397007,0.5523100946082525,-1.792948611342081,1,1204,1426,1.2654245087008529,0.01406045528885448,1,-0.02079999999999999
2025-10-17 00:00:00+00:00,2025-10-17 07:31:00+00:00,1,108129.4,105966.81199999999,-0.02080000000000003,-0.02000000000000003,stop,initial_SL,2025,0.009899250342645098,0.02053095642813148,0.02989925034264513,0.4821621621621661,-2.020355007473828,1,238,451,1.311184688360571,0.013537767188133144,2,-0.020267773710831032
2025-10-17 08:00:00+00:00,2025-10-21 04:06:00+00:00,1,105578.3,108300.5,0.0249837074474584,0.0257837074474584,stop,trailing,2025,0.057508976749957114,0.019969065612914803,0.031725269302498714,2.879903239576905,0.4483423094026382,1,4355,5526,1.2305336712500141,0.01391511612380409,3,-0.02080000000000003
2025-10-21 08:00:00+00:00,2025-10-21 20:17:00+00:00,1,108019.9,110521.8,0.02236147302487791,0.023161473024877907,stop,trailing,2025,0.05480564229368853,0.005435109641834433,0.031644169268810626,10.083631408618794,0.4226111045421541,0,516,737,1.1705324714869443,0.013922189787418434,0,0.0249837074474584
2025-10-22 00:00:00+00:00,2025-10-28 20:09:00+00:00,1,108253.8,112888.794,0.042015993526324166,0.04281599352632417,stop,trailing,2025,0.07506803456322082,0.017491302845719967,0.032252041036896655,4.291734882492735,0.5703625221500288,0,7626,9849,0.7881969981587723,0.017042552510530596,0,0.02236147302487791
2025-10-29 00:00:00+00:00,2025-10-29 18:35:00+00:00,1,112833.5,110576.83,-0.02079999999999998,-0.019999999999999983,stop,initial_SL,2025,0.006731156970226041,0.022400262333438208,0.026731156970226023,0.30049455984174084,-2.971257406188279,1,806,1115,0.5936134373311565,0.014703841756862759,0,0.042015993526324166
2025-10-30 16:00:00+00:00,2025-11-03 03:52:00+00:00,1,107670.5,107896.01,0.0012944455537960238,0.0020944455537960237,stop,trailing,2025,0.03308705727195471,0.013657408482360535,0.03099261171815869,2.4226453587215233,0.06330105263157748,0,1389,5032,0.6391575780250315,0.015069254553987423,1,-0.02079999999999998
2025-11-03 08:00:00+00:00,2025-11-04 05:39:00+00:00,1,107420.6,105272.18800000001,-0.020799999999999968,-0.01999999999999997,stop,initial_SL,2025,0.008000327683889256,0.021089995773622562,0.028000327683889225,0.37934230854115836,-2.4998976029788356,1,367,1299,0.5197297266874248,0.015121009118355172,0,0.0012944455537960238
2025-11-04 16:00:00+00:00,2025-11-04 17:16:00+00:00,1,103157.7,101094.546,-0.02079999999999995,-0.019999999999999952,stop,initial_SL,2025,0.0030671486471684495,0.020664477784983547,0.0230671486471684,0.14842613876249433,-6.52071428571409,1,1,76,0.6179847100544568,0.01508158824600112,1,-0.020799999999999968
2025-11-05 16:00:00+00:00,2025-11-07 17:23:00+00:00,-1,103668.2,102176.0,0.013593999317051873,0.014393999317051874,stop,trailing,2025,0.04310097021072998,0.008000524751080937,0.028706970893678102,5.3872679045092235,0.3339599838861282,0,2695,2963,0.8659222896102087,0.013119293909085585,2,-0.02079999999999995
2025-11-08 00:00:00+00:00,2025-11-09 18:50:00+00:00,-1,103305.3,104339.0,-0.01080626298941097,-0.01000626298941097,stop,trailing,2025,0.01941139515591168,0.011138828307937705,0.02941765814532265,1.7426783696880233,-0.5154839674861594,0,1649,2570,0.9565147026798362,0.011994548086834738,0,0.013593999317051873
2025-11-10 00:00:00+00:00,2025-11-11 01:18:00+00:00,-1,104670.7,106764.114,-0.02080000000000004,-0.020000000000000042,stop,initial_SL,2025,0.0044405932128093436,0.02156381871908763,0.024440593212809385,0.20592796065748162,-4.503902753872614,1,4,1518,0.8972918803739192,0.012290996744475145,1,-0.01080626298941097
2025-11-11 08:00:00+00:00,2025-11-11 20:59:00+00:00,1,104737.1,102642.35800000001,-0.02079999999999998,-0.019999999999999983,stop,initial_SL,2025,0.006942143710299323,0.02038532668939665,0.026942143710299307,0.3405461102524422,-2.880954476688246,1,222,779,0.9078847544378325,0.012380193611826358,2,-0.02080000000000004
2025-11-12 00:00:00+00:00,2025-11-12 15:52:00+00:00,1,103005.8,102138.09,-0.0092238945768103,-0.0084238945768103,stop,trailing,2025,0.022243407652772922,0.008793679579208189,0.03066730222958322,2.5294767056745306,-0.37871421089385804,0,742,952,0.8662202918284628,0.012449202621295462,3,-0.02079999999999998
2025-11-14 08:00:00+00:00,2025-11-14 12:34:00+00:00,1,97099.9,95157.90199999999,-0.020800000000000072,-0.020000000000000073,stop,initial_SL,2025,0.004326472014904298,0.02015244093969189,0.02432647201490437,0.21468724448078919,-4.622704118067079,1,65,274,0.8248149441018096,0.013046446039650626,4,-0.0092238945768103
2025-11-15 00:00:00+00:00,2025-11-16 17:44:00+00:00,1,94544.9,93896.0,-0.007663405641129181,-0.0068634056411291805,stop,trailing,2025,0.023852159132856515,0.007694756671168937,0.030715564773985696,3.099793814432998,-0.28774777171743715,0,208,2504,1.0433782522008181,0.012546358256056761,5,-0.020800000000000072
2025-11-17 16:00:00+00:00,2025-11-17 19:32:00+00:00,1,93915.8,92037.484,-0.020800000000000065,-0.020000000000000066,stop,initial_SL,2025,0.005027907977145455,0.02003922662640365,0.02502790797714552,0.2509032943676924,-3.9777975434138453,1,52,212,0.9027417864507563,0.013197033071804743,6,-0.007663405641129181
2025-11-18 08:00:00+00:00,2025-11-19 05:08:00+00:00,1,90459.2,90985.12700000001,0.005013969170631739,0.005813969170631739,stop,trailing,2025,0.03692161770168218,1.1054707535692207e-06,0.03110764853105044,33399.000002916204,0.1574678882601303,0,509,1268,0.9413795204716746,0.01302897189278884,7,-0.020800000000000065
2025-11-19 16:00:00+00:00,2025-11-20 15:13:00+00:00,1,89901.0,90355.5,0.004255561117228951,0.0050555611172289515,stop,trailing,2025,0.03613975372910201,0.014867465322966438,0.03108419261187306,2.430794553344296,0.13988919667590027,0,788,1393,0.7554568986850217,0.013589044769610214,0,0.005013969170631739
