[Back2TV·REVoi R+P70 + 레짐오버레이(M5게이트+M4b DD컷)] 260626_04_REVoi_RP70_RegimeOverlay_Back2TV
[게이트] 지속하락(30d<-10)서 롱·지속상승(>12)서 숏 차단 → 거래 758/983(차단 225).
[DD컷] 자기자본 DD<=-8%면 수량×0.5(동적사이징=차트마커 불변·equity만 영향).
[★결합 성적] 전기간 +1519% · MDD -16.4% · 최근2달 -1.3%(2달MDD -7.2%) · CPCV p25 +97%·음수폴드 0%·MDD20위반 0%
[대비 M0] 전기간 +7166%·MDD -29.6%·최근2달 -15.2% (결합이 MDD·최근 개선)
[경계 §20] full=과적합 상한. 게이트는 경제원리·DD컷은 손익반응(과적합 적음)이나 임계 OOS 추가검증 권장. Pine 임베드 400/758.

[월별 통합표 — 게이트통과·exp3.3 기준(M4b 동적사이징 별도)]
     년월  총합_거래수  총합_승률(%)  총합_수익팩터(PF)  총합_손익비  총합_수익금($)  총합_누적수익금($)  롱_거래수  롱_승률(%)  롱_수익팩터(PF)  롱_손익비  롱_수익금($)  롱_누적수익금($)  숏_거래수  숏_승률(%)  숏_수익팩터(PF)  숏_손익비  숏_수익금($)  숏_누적수익금($)  지정가_체결횟수  지정가_수수료($)  시장가_체결횟수  시장가_수수료($)  슬리피지($)  펀딩비($)  손익금_무비용($)  총비용($)  순손익금_현실($)
2025-09      29        59         1.80    1.27      13862       207348      8       62        3.49   2.10      8345      116811     21       57        1.40   1.05      5517       90538        29      3981.2        29      9953.0        0  -456.3       28194   14332       13862
2025-10      27        63         1.59    0.94      21228       228577     13       62        1.41   0.88      8763      125574     14       64        1.85   1.03     12465      103002        27      3974.3        27      9935.8        0   -88.8       -7528  -28757       21228
2025-11      11        82         4.73    1.05      58805       287382      0        0         inf    NaN         0      125574     11       82        4.73   1.05     58805      161807        11      1955.2        11      4888.0        0  -708.4      484338  425533       58805
2025-12      22        41         0.50    0.72     -35603       251779      4       50        0.94   0.94      -484      125090     18       39        0.44   0.69    -35119      126689        22      3953.7        22      9884.4        0  -601.2     -154118 -118515      -35603
2026-01      19        37         0.81    1.39      -6395       245384     10       40        1.23   1.85      2925      128015      9       33        0.57   1.14     -9319      117369        19      3140.6        19      7851.6        0   229.2     -161617 -155223       -6395
2026-02       8        62         2.78    1.67      31208       276592      0        0         inf    NaN         0      128015      8       62        2.78   1.67     31208      148578         8      1452.5         8      3631.3        0   -17.5      116438   85230       31208
2026-03      27        67         1.48    0.74      34010       310602     13       69        1.72   0.76     21080      149095     14       64        1.31   0.73     12929      161507        27      5548.9        27     13872.2        0   -30.6      277741  243731       34010
2026-04      27        59         1.18    0.81      11473       322075     15       40        0.63   0.94    -17694      131401     12       83        2.71   0.54     29167      190674        27      6160.7        27     15401.8        0   127.4       65328   53855       11473
2026-05      18        67         1.16    0.58       5405       327480      9       56        0.76   0.61     -4605      126796      9       78        1.67   0.48     10010      200685        18      4062.1        18     10155.3        0     0.0       78364   72959        5405
2026-06      11        55         1.16    0.96       4678       332158      1        0        0.00    NaN     -8244      118552     10       60        1.59   1.06     12921      213606        11      2448.9        11      6122.2        0     0.0       47754   43076        4678
