side,R,R_real,reason,mae,mae_real,size_pct,fund,year
1,0.0166684425091546,0.0166684425091546,sl_intrabar,-0.0017802370818484,-0.0017802370818484,4.2518,0.0007,2023
1,-0.0105999999999999,-0.0105999999999999,sl_intrabar,-0.0101234952909623,-0.0101234952909623,4.2518,0.0002,2023
1,0.0305330460171457,-0.6605288932341019,sl_intrabar,-0.0012334842772314,-0.0012334842772314,7.0864,0.0,2023
1,-0.0109999999999999,-0.0109999999999999,sl_intrabar,-0.0099999999999999,-0.009999999999999983,4.2518,0.0006,2023
1,0.017020549759894,0.017020549759894,sl_intrabar,-0.0040433853260186,-0.0040433853260186,7.0864,0.0007,2023
1,-0.0105999999999999,-0.0105999999999999,sl_intrabar,-0.0106901933193686,-0.0106901933193686,4.2518,0.0002,2023
1,-0.011,-0.011,sl_intrabar,-0.0101896000633981,-0.0101896000633981,7.0864,0.0006,2023
1,0.0093307997097679,0.0093307997097679,sl_intrabar,-0.0002707662685399,-0.0002707662685399,7.0864,0.0,2023
1,0.0103763378164848,-0.07156301383190404,sl_intrabar,-0.0049584004294148,-0.0049584004294148,7.0864,0.0,2023
1,-0.0106,-0.0106,sl_intrabar,-0.0104531270880663,-0.0104531270880663,7.0864,0.0002,2023
1,0.0092382118067762,-0.19742959328197143,sl_intrabar,-0.009131380753138,-0.009131380753138,7.0864,0.0007,2023
1,-0.0103999999999999,-0.0103999999999999,sl_intrabar,-0.0101053401609363,-0.0101053401609363,7.0864,0.0,2023
