et,xt,et_fill,xt_fill,side,entry,exit,R,mae,fund,reason,x_int,year,tp,fills,atr60,slip_bp
2023-08-07 04:00:00,2023-08-07 12:00:00,2023-08-07 04:00:00,2023-08-07 12:52:00,-1,29091.82068,29143.320153647124,-0.0022935489346338944,-0.003257937034692248,-7.669000000000079e-05,fibstop,29143.320153647124,2023,False,,0.00018446899687779117,0.0
2023-08-08 00:00:00,2023-08-08 08:00:00,2023-08-08 00:00:00,2023-08-08 10:30:00,-1,29200.21068,29223.95262523841,-0.001321714449996033,-0.0044448076564357125,-9.135999999999866e-05,fibstop,29223.95262523841,2023,False,,0.00013904739007877256,0.0
2023-08-09 00:00:00,2023-08-09 12:00:00,2023-08-09 00:00:00,2023-08-09 12:08:00,-1,29756.090379999998,29901.996,-0.005408116773487859,-0.005031226148601363,-9.527000000000146e-05,fibstop,29901.996,2023,False,,0.000266269366804131,0.0
2023-08-10 00:00:00,2023-08-10 08:00:00,2023-08-10 00:00:00,2023-08-10 08:00:00,1,29542.7928,29502.062,-0.002178705130409929,-0.0022202640232442256,0.0001999999999999988,fibstop,29502.062,2023,False,,0.00021529732406719182,0.0
2023-08-10 20:00:00,2023-08-11 08:00:00,2023-08-10 20:00:00,2023-08-11 09:57:00,1,29431.17266,29370.164847153123,-0.002872897792815219,-0.003233736592811663,0.0001999999999999988,fibstop,29370.164847153123,2023,False,,0.00018614833801990161,0.0
2023-08-11 20:00:00,2023-08-12 12:00:00,2023-08-11 20:00:00,2023-08-12 12:47:00,1,29405.354059999998,29401.38,-0.0009351474970132291,-0.0015423742189077333,0.0001999999999999988,fibstop,29401.38,2023,False,,0.0002225596831684289,0.0
2023-08-13 08:00:00,2023-08-13 16:00:00,2023-08-13 08:00:00,2023-08-13 16:00:00,1,29370.28972,29357.249965322695,-0.0011439777340169048,-0.0007248726588319357,9.99999999999994e-05,fibstop,29357.249965322695,2023,False,,2.66487232805535e-05,0.0
2023-08-13 20:00:00,2023-08-14 04:00:00,2023-08-13 20:00:00,2023-08-14 04:37:00,-1,29296.804479999995,29443.28850239999,-0.005499999999999876,-0.004713671762197808,-9.99999999999994e-05,fibstop,29443.28850239999,2023,False,,0.00012031958009195688,0.0
2023-08-15 16:00:00,2023-08-16 00:00:00,2023-08-15 16:00:00,2023-08-16 00:04:00,-1,29184.80974,29196.572549481843,-0.0009030456112832234,-0.005965098335432933,-9.99999999999994e-05,fibstop,29196.572549481843,2023,False,,0.0003421365365624171,0.0
2023-08-17 04:00:00,2023-08-17 12:00:00,2023-08-17 04:00:00,2023-08-17 12:11:00,1,28577.6171,28472.74981060858,-0.004369560307441414,-0.003793776773641451,9.99999999999994e-05,fibstop,28472.74981060858,2023,False,,0.00023162346669972983,0.0
2023-08-18 00:00:00,2023-08-18 08:00:00,2023-08-18 00:00:00,2023-08-18 10:09:00,1,26241.51366,26379.44595144177,0.00465672277618347,-0.003487362092968555,-4.600000000007376e-07,fibstop,26379.44595144177,2023,False,,0.0013875770950048866,0.0
