et,xt,et_fill,xt_fill,side,entry,exit,R,mae,fund,reason,x_int,year,tp,fills,atr60,slip_bp
2025-10-13 04:00:00,2025-10-13 16:00:00,2025-10-13 04:00:00,2025-10-13 16:04:00,-1,115530.1834,114582.9549288282,0.00904167264209061,0.0002612598639741659,-2.519000000000826e-05,fibstop,114582.9549288282,2025,True,,0.0005551733077130565,0.0
2025-10-14 16:00:00,2025-10-15 08:00:00,2025-10-14 16:00:00,2025-10-15 11:17:00,1,112364.26599999999,111850.06,0.005134133711772397,-0.0066672975908549335,-5.425000000000568e-05,fibstop,111850.06,2025,True,,0.0008342812424588466,0.0
2025-10-15 20:00:00,2025-10-16 08:00:00,2025-10-15 20:00:00,2025-10-16 09:34:00,1,110596.71152,109564.5751014987,0.0024848657363874733,-0.00268282407245301,-2.7410000000005486e-05,fibstop,109564.5751014987,2025,True,,0.0004702021047850271,0.0
2025-10-17 00:00:00,2025-10-17 04:00:00,2025-10-17 00:00:00,2025-10-17 06:19:00,1,108986.266,107929.81217368977,-0.0029802417434410806,-0.010099125700847457,-2.849999999998687e-06,fibstop,107929.81217368977,2025,True,,0.000437174395341702,0.0
2025-10-17 12:00:00,2025-10-18 04:00:00,2025-10-17 12:00:00,2025-10-18 04:05:00,1,106500.494,106562.96201438046,3.7651404920787095e-05,-0.018882485183589908,-5.109999999999837e-05,fibstop,106562.96201438046,2025,False,,0.0011188978665009324,0.0
2025-10-19 04:00:00,2025-10-19 08:00:00,2025-10-19 04:00:00,2025-10-19 09:48:00,-1,106846.8722,107588.20316356132,-0.0002905869834194481,-0.0036933959027019795,-0.0,fibstop,107588.20316356132,2025,True,,0.0003544811489482329,0.0
2025-10-19 12:00:00,2025-10-20 00:00:00,2025-10-19 12:00:00,2025-10-20 00:23:00,1,108391.95032,107599.8952146972,-0.0014745404742954838,-0.009961536044072598,2.7870000000013162e-05,fibstop,107599.8952146972,2025,True,,0.0004265703035411232,0.0
2025-10-20 12:00:00,2025-10-21 08:00:00,2025-10-20 12:00:00,2025-10-21 10:48:00,-1,111243.56948,108167.634,0.01235973361340374,-0.0036445299435747163,3.363000000000671e-05,fibstop,108167.634,2025,True,,0.00036648729774664546,0.0
2025-10-21 20:00:00,2025-10-22 12:00:00,2025-10-21 20:00:00,2025-10-22 12:16:00,-1,108445.97600000001,107828.85793276488,0.004088289998807984,-0.030445795425364488,1.766999999999741e-05,fibstop,107828.85793276488,2025,True,,0.00048307735387635915,0.0
2025-10-23 20:00:00,2025-10-24 04:00:00,2025-10-23 20:00:00,2025-10-24 04:11:00,-1,110169.36318,110453.22031903117,-0.00314264241745739,-0.006086418225949428,-3.390999999999811e-05,fibstop,110453.22031903117,2025,False,,0.0005909427837668173,0.0
2025-10-24 08:00:00,2025-10-24 12:00:00,2025-10-24 08:00:00,2025-10-24 12:30:00,-1,111157.77189999999,112006.09024601663,0.0014147661331542468,-0.0025236930824088467,-0.0,fibstop,112006.09024601663,2025,True,,0.0004832776113118798,0.0
2025-10-24 16:00:00,2025-10-25 04:00:00,2025-10-24 16:00:00,2025-10-25 04:17:00,-1,110739.63558,111175.76,-0.004455846573870212,-0.004044301009790248,-8.243999999998919e-05,fibstop,111175.76,2025,False,,0.0006724027907585225,0.0
2025-10-25 16:00:00,2025-10-26 08:00:00,2025-10-25 16:00:00,2025-10-26 08:01:00,-1,111737.88184,111720.2694305854,-0.000367647454050667,-0.0011528602285879456,-7.472999999999508e-05,fibstop,111720.2694305854,2025,False,,0.00021798809021756363,0.0
2025-10-26 16:00:00,2025-10-26 20:00:00,2025-10-26 16:00:00,2025-10-26 22:03:00,-1,113770.90718000002,114339.76171590001,0.00038668978755366113,-3.1579426489866186e-05,-0.0,fibstop,114339.76171590001,2025,True,,0.00028162761029982544,0.0
2025-10-27 00:00:00,2025-10-27 04:00:00,2025-10-27 00:00:00,2025-10-27 06:48:00,-1,115197.04515999998,115865.93213236996,-0.006406459457713885,-0.0018286479458516822,-0.0,fibstop,115865.93213236996,2025,False,,0.0004341180009703321,0.0
2025-10-28 08:00:00,2025-10-28 16:00:00,2025-10-28 08:00:00,2025-10-28 19:30:00,1,114203.72891999998,113595.55045411615,0.0004889726584215229,-0.0012760434477762372,0.0,fibstop,113595.55045411615,2025,True,,0.00033039883626136016,0.0
2025-10-29 04:00:00,2025-10-29 08:00:00,2025-10-29 04:00:00,2025-10-29 10:52:00,1,113393.17692,112680.02681283234,-0.006889180059491548,-0.008375079928045445,0.0,fibstop,112680.02681283234,2025,False,,0.00033408241349616106,0.0
2025-10-29 20:00:00,2025-10-30 04:00:00,2025-10-29 20:00:00,2025-10-30 04:05:00,1,109778.39174,110553.17377499818,0.006446721615970996,-0.0009819030711917822,1.0969999999999036e-05,fibstop,110553.17377499818,2025,False,,0.0009557399917312913,0.0
2025-10-30 20:00:00,2025-10-31 12:00:00,2025-10-30 20:00:00,2025-10-31 12:40:00,1,107973.19558,109747.80052780153,0.015733476432400972,-0.015894644691963646,0.00010212999999997807,fibstop,109747.80052780153,2025,False,,0.0008947068841967464,0.0
2025-10-31 16:00:00,2025-11-01 00:00:00,2025-10-31 16:00:00,2025-11-01 00:46:00,-1,109950.77020000001,109619.26644652695,0.002515019839061247,-0.0029324924183203537,-9.999999999998899e-05,fibstop,109619.26644652695,2025,False,,0.0008008383984069716,0.0
2025-11-02 16:00:00,2025-11-03 08:00:00,2025-11-02 16:00:00,2025-11-03 08:10:00,-1,110272.6704,107633.19421466008,0.009158551223652256,-0.003974961324596682,-0.00011732999999999882,fibstop,107633.19421466008,2025,True,,0.0004173803699913608,0.0
2025-11-05 00:00:00,2025-11-05 08:00:00,2025-11-05 00:00:00,2025-11-05 08:00:00,1,101732.38032,101774.98330539698,0.0009350392005635809,-0.027746134624209485,2.831000000000361e-05,fibstop,101774.98330539698,2025,True,,0.0007838769223130846,0.0
2025-11-06 00:00:00,2025-11-06 08:00:00,2025-11-06 00:00:00,2025-11-06 08:02:00,-1,103763.19872,103155.53892456247,0.0086915673439614,-0.004307898036241232,-0.00011901000000000272,fibstop,103155.53892456247,2025,True,,0.0003883682881883936,0.0
2025-11-06 20:00:00,2025-11-07 08:00:00,2025-11-06 20:00:00,2025-11-07 08:13:00,1,101180.37952,101831.75111268787,0.003718949068538099,-0.006724421505708168,4.704999999999293e-05,fibstop,101831.75111268787,2025,True,,0.0008165894742510975,0.0
2025-11-08 00:00:00,2025-11-08 12:00:00,2025-11-08 00:00:00,2025-11-08 12:42:00,-1,102688.99858000001,102023.14893979307,0.005992368022713441,-0.006668693136261265,-0.0001082300000000147,fibstop,102023.14893979307,2025,False,,0.0005115513991917638,0.0
2025-11-08 16:00:00,2025-11-09 08:00:00,2025-11-08 16:00:00,2025-11-09 09:52:00,1,101855.78436,101678.29388487726,0.0012189043465161242,-0.00545658121914447,6.286999999999265e-05,fibstop,101678.29388487726,2025,True,,0.00044720746534588214,0.0
2025-11-10 04:00:00,2025-11-10 12:00:00,2025-11-10 04:00:00,2025-11-10 13:04:00,-1,106575.4604,106227.03544627021,0.005011131806917854,5.123505898545758e-05,-7.355000000000556e-05,fibstop,106227.03544627021,2025,True,,0.0005283331829547088,0.0
2025-11-12 00:00:00,2025-11-12 12:00:00,2025-11-12 00:00:00,2025-11-12 15:19:00,1,103118.03322,103426.6080786041,0.002079581769912696,-0.0047376118875126615,6.86999999999216e-06,fibstop,103426.6080786041,2025,True,,0.00048158768436126683,0.0
2025-11-12 16:00:00,2025-11-13 00:00:00,2025-11-12 16:00:00,2025-11-13 00:04:00,-1,101330.57179999999,101668.61286744603,-0.003936022499835964,-0.00906565692546508,-0.0,fibstop,101668.61286744603,2025,False,,0.0011754191823515703,0.0
2025-11-16 04:00:00,2025-11-16 12:00:00,2025-11-16 04:00:00,2025-11-16 15:53:00,1,95756.18819999999,94905.07204694644,-0.000197063517906946,-0.0032644177454839813,9.999999999998899e-05,fibstop,94905.07204694644,2025,True,,0.00033964483981790993,0.0
2025-11-17 00:00:00,2025-11-17 08:00:00,2025-11-17 00:00:00,2025-11-17 09:02:00,1,95363.99032,95324.16144083644,0.0006015297543574729,-0.01713424862484296,9.999999999998899e-05,fibstop,95324.16144083644,2025,True,,0.001313654074923096,0.0
2025-11-18 08:00:00,2025-11-18 20:00:00,2025-11-18 08:00:00,2025-11-18 20:11:00,1,91267.79412000002,92950.29273877131,0.0072540793355254565,-0.008860673447818117,0.00013724999999997767,fibstop,92950.29273877131,2025,True,,0.0006220269910966756,0.0
2025-11-19 08:00:00,2025-11-19 12:00:00,2025-11-19 08:00:00,2025-11-19 15:46:00,1,91259.70685999999,90343.41216535457,0.0005539939387307494,-0.0024195438227599514,0.0,fibstop,90343.41216535457,2025,True,,0.0006279740739314261,0.0
2025-11-20 08:00:00,2025-11-21 12:00:00,2025-11-20 08:00:00,2025-11-21 12:44:00,-1,92027.41664000001,82991.95518834588,0.03342265237664257,-0.005120032455580135,-0.00017795000000001004,fibstop,82991.95518834588,2025,True,,0.0005228332154951842,0.0
2025-11-21 16:00:00,2025-11-22 00:00:00,2025-11-21 16:00:00,2025-11-22 00:28:00,1,83798.23,84935.21679998777,0.01820389171656408,-0.017879017253705668,2.6419999999999222e-05,fibstop,84935.21679998777,2025,True,,0.0014811035124279162,0.0
2025-11-22 04:00:00,2025-11-22 16:00:00,2025-11-22 04:00:00,2025-11-22 16:08:00,-1,84684.39706,84352.59255891143,0.007828983069207183,-0.0009435379216715408,-0.00011791999999999359,fibstop,84352.59255891143,2025,True,,0.0006183171772733022,0.0
2025-11-23 08:00:00,2025-11-23 16:00:00,2025-11-23 08:00:00,2025-11-23 19:23:00,-1,86473.36792,87494.35653485611,-0.012405441781192367,-0.00865737160477646,-1.5299999999995872e-06,fibstop,87494.35653485611,2025,False,,0.000603654616448577,0.0
2025-11-24 16:00:00,2025-11-25 04:00:00,2025-11-24 16:00:00,2025-11-25 07:54:00,1,88192.51616,87391.508,0.0015071445182673507,-0.018386097036376916,-2.459999999981921e-06,fibstop,87391.508,2025,True,,0.0011011974972142736,0.0
2025-11-25 16:00:00,2025-11-26 08:00:00,2025-11-25 16:00:00,2025-11-26 09:30:00,1,86743.38372,87049.21567759597,0.011684430059165762,-0.007040118725034224,1.018999999999326e-05,fibstop,87049.21567759597,2025,True,,0.0009733785413426713,0.0
2025-11-27 04:00:00,2025-11-27 16:00:00,2025-11-27 04:00:00,2025-11-27 18:42:00,-1,91525.81954,91719.14387561854,0.0041465724531938725,-0.004436785838585427,-2.408000000000965e-05,fibstop,91719.14387561854,2025,True,,0.0005566041261399521,0.0
